Name of the Book,AUthor,Author Gender,Genre,HTML Link to the book,,Done by,https://www.gutenberg.org/browse/scores/top#authors-last30
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,Female,Fiction,https://www.gutenberg.org/ebooks/84.html.images,,Poorvi,
Pride and Prejudice,Jane Austen,Female,Classics,https://www.gutenberg.org/ebooks/1342.html.images,,Poorvi,
The Scarlet Letter,Nathaniel Hawthorne,Male,Fiction,https://www.gutenberg.org/ebooks/25344.html.images,,Poorvi,
A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,Male,Children’s Literature,https://www.gutenberg.org/ebooks/46.html.images,,Poorvi,
Alice's Adventures in Wonderland,Lewis Carroll,Male,Children’s Literature,https://www.gutenberg.org/ebooks/11.html.images,,Poorvi,
Dracula,Bram Stoker,Male,Horror,https://www.gutenberg.org/ebooks/345.html.images,,Poorvi,
"Moby Dick; Or, The Whale",Herman Melville,Male,Adventure,https://www.gutenberg.org/ebooks/2701.html.images,,Poorvi,
The Picture of Dorian Gray,Oscar Wilde,Male,Fiction,https://www.gutenberg.org/ebooks/174.html.images,,Poorvi,
A Doll's House : a play,Henrik Ibsen,Male,Language and Literatures,https://www.gutenberg.org/ebooks/2542.html.images,,Poorvi,
A Modest Proposal,Jonathan Swift,Male,Language and Literatures,https://www.gutenberg.org/ebooks/1080.html.images,,Poorvi,
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Male,Fiction,https://www.gutenberg.org/ebooks/1661.html.images,,Anmol,
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Male,Fiction,https://www.gutenberg.org/ebooks/43.html.images,,Anmol,
The Great Gatsby,F. Scott Fitzgerald,Male,Fiction,https://www.gutenberg.org/ebooks/64317.html.images,,Anmol,
A Tale of Two Cities,Charles Dickens,Male,Fiction,https://www.gutenberg.org/ebooks/98.html.images,,Anmol,
The Yellow Wallpaper,Charlotte Perkins Gilman,Female,Fiction,https://www.gutenberg.org/ebooks/1952.html.images,,Anmol,
The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde,Male,Language and Literatures,https://www.gutenberg.org/ebooks/844.html.images,,Anmol,
Jane Eyre: An Autobiography,Charlotte Brontë,Female,Fiction,https://www.gutenberg.org/ebooks/1260.html.images,,Anmol,
Metamorphosis,Franz Kafka,Male,Fiction,https://www.gutenberg.org/ebooks/5200.html.images,,Anmol,
Heart of Darkness,Joseph Conrad,Male,Fiction,https://www.gutenberg.org/ebooks/219.html.images,,Anmol,
The Prince,Niccolò Machiavelli,Male,History,https://www.gutenberg.org/ebooks/1232.html.images,,Anmol,
"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,Male,History,https://www.gutenberg.org/cache/epub/205/pg205-images.html,,Irtiza,
Adventures of Huckleberry Finn,Mark Twain,Male,Fiction,https://www.gutenberg.org/cache/epub/76/pg76-images.html,,Irtiza,
The Legend of Sleepy Hollow,Washington Irving,Male,Fiction,https://www.gutenberg.org/cache/epub/41/pg41-images.html,,Irtiza,
"Narrative of the Life of Frederick Douglass, an American Slave",Douglass,Male,History,https://www.gutenberg.org/cache/epub/23/pg23-images.html,,Irtiza,
Old Granny Fox,Thornton W. Burgess,Male,Fiction,"https://www.gutenberg.org/cache/epub/4980/pg4980-images.html,",,Irtiza,
Crime and Punishment,Fyodor Dostoyevsky,Male,Crime Fiction,https://www.gutenberg.org/cache/epub/2554/pg2554-images.html,,Irtiza,
Siddhartha,Hermann Hesse,Male,Fiction,https://www.gutenberg.org/cache/epub/2500/pg2500-images.html,,Irtiza,
Grimms' Fairy Tales,Jacob Grimm,Male,Children’s Literature,https://www.gutenberg.org/cache/epub/2591/pg2591-images.html,,Irtiza,
Anthem,Ayn Rand,Female,Fiction,https://www.gutenberg.org/cache/epub/1250/pg1250-images.html,,Irtiza,
"The Awakening, and Selected Short Stories",Kate Chopin,Female,Fiction,https://www.gutenberg.org/cache/epub/160/pg160-images.html,,Irtiza,
Little Women,Louisa May Alcott,Female,Children’s Literature,https://www.gutenberg.org/cache/epub/514/pg514-images.html,,Dongrun,
Peter Pan,James Matthew Barrie,Male,Children’s Literature,https://www.gutenberg.org/cache/epub/16/pg16-images.html,,Dongrun,
THE ADVENTURES OF TOM Sawyer,Mark Twain,Male,Children’s Literature,https://www.gutenberg.org/cache/epub/74/pg74-images.html,,Dongrun,
The Wonderful Wizard of Oz,L. Frank Baum,Male,Children’s Literature,https://www.gutenberg.org/cache/epub/55/pg55-images.html,,Dongrun,
ANNE OF GREEN GABLES,Lucy Maud Montgomery,Female,Children’s Literature,https://www.gutenberg.org/cache/epub/45/pg45-images.html,,Dongrun,
Mansfield Park,Jane Austen,Female,Children’s Literature,https://www.gutenberg.org/cache/epub/141/pg141-images.html,,Dongrun,
North and South,Elizabeth Cleghorn Gaskell,Female,Children’s Literature,https://www.gutenberg.org/cache/epub/4276/pg4276-images.html,,Dongrun,
The Story of Doctor Dolittle,Hugh Lofting,Male,Children’s Literature,https://www.gutenberg.org/cache/epub/501/pg501-images.html,,Dongrun,
Heidi ,Johanna Spyri,Female,Children’s Literature,https://www.gutenberg.org/cache/epub/20781/pg20781-images.html,,Dongrun,
Treasure Island,Robert Louis Stevenson,Male,Children’s Literature,https://www.gutenberg.org/cache/epub/120/pg120-images.html,,Dongrun,